Text,Domain,Predicted domain,Intent,Predicted intent,Slots,Predicted slots
please play the radio gaga song,play,play,play_music,play_music,O O O O B-artist_name O,O O O B-artist_name I-artist_name O
set notification for news about the dakota pipeline,news,news,news_query,news_query,O O O O O O B-news_topic I-news_topic,O O O O O B-news_topic B-news_topic I-news_topic
keep me informed about bitcoin price,news,qa,news_query,qa_stock,O O O O B-news_topic I-news_topic,O O O O O O
summarize week's weather details,weather,weather,weather_query,weather_query,O B-time O O,O B-date O O
could you please give me up to date news headlines from my newest provider,news,news,news_query,news_query,O O O O O O O O O O O O B-media_type I-media_type,O O O O O O O O O O O O O O
play love songs,play,play,play_music,play_music,O B-song_name I-song_name,O B-music_genre O
what are the b. b. c. poll predictions for the upcoming us elections,news,news,news_query,news_query,O O O B-media_type I-media_type I-media_type I-media_type O O O B-news_topic I-news_topic I-news_topic,O O O B-media_type I-media_type I-media_type O O O O O B-place_name I-news_topic
play some christian music,play,play,play_music,play_music,O O B-music_descriptor O,O O B-music_genre O
open the folder app please,takeaway,lists,takeaway_order,lists_query,O O O O O,O O O O O
i need a good cry can you play me sad rock songs,play,play,play_music,play_music,O O O O O O O O O B-music_descriptor B-music_genre O,O O O O O O O O O B-music_genre B-music_genre O
get hourly notification on sports news,news,news,news_query,news_query,O B-general_frequency O O B-news_topic O,O O O O B-news_topic O
where is volume setting,audio,music,audio_volume_other,music_query,O O O O,O O O O
please turn up the screen brightness all the way,iot,iot,iot_hue_lightup,iot_hue_lightup,O O O O B-device_type O B-change_amount I-change_amount I-change_amount,O O O O O O O O O
do not play rock metal,music,music,music_dislikeness,music_settings,O O O B-music_genre I-music_genre,O O O B-music_genre I-music_genre
coordinate all pop song genres,play,music,play_music,music_query,O O B-music_genre O O,O O B-music_genre O O
is there any special in politic,news,general,news_query,general_quirky,O O O O O B-news_topic,O O O O O B-news_topic
get sia's cheap thrills ready to play next,play,play,play_music,play_music,O B-artist_name B-song_name I-song_name O O O O,O B-artist_name B-artist_name I-artist_name O O O O
how cold will it get each night this week,weather,weather,weather_query,weather_query,O B-weather_descriptor O O O B-general_frequency I-general_frequency B-date I-date,O B-weather_descriptor O O O B-date I-date B-date I-date
who sings the song about a long black train,music,music,music_query,music_query,O O O O O O B-song_name I-song_name I-song_name,O O O O O O O O O
if it's sunrise in stockholm what time is it in okinawa,datetime,datetime,datetime_convert,datetime_convert,O O B-time O B-place_name O O O O O B-place_name,O O O O B-place_name O O O O O B-place_name
pandora,play,music,play_music,music_likeness,O,B-media_type
i need to know if mr. pizza delivers,takeaway,takeaway,takeaway_query,takeaway_query,O O O O O B-business_name I-business_name B-order_type,O O O O O B-business_name I-business_name O
fast,audio,transport,audio_volume_up,transport_traffic,O,O
tell me about the new foreign policy of trump,news,news,news_query,news_query,O O O O O B-news_topic I-news_topic I-news_topic I-news_topic,O O O O O B-news_topic I-news_topic O B-person
i like the songs of yeshudas please play it,music,play,music_likeness,play_music,O O O O O B-artist_name O O O,O O O O O B-artist_name O O O
what do we have on new york time's front page,news,news,news_query,news_query,O O O O O B-media_type I-media_type I-media_type O O,O O O O O B-media_type I-media_type I-media_type O I-media_type
please turn off the light of my son's room,iot,iot,iot_hue_lightoff,iot_hue_lightoff,O O O O O O B-house_place I-house_place I-house_place,O O O O O O O B-relation B-house_place
tell me about trump,news,qa,news_query,qa_factoid,O O O B-news_topic,O O O B-person
let me know when you hear about france,news,general,news_query,general_quirky,O O O O O O O B-news_topic,O O O O O O O B-place_name
play the latest rock songs having rating of four or above,play,play,play_music,play_music,O O O B-music_genre O O B-music_descriptor I-music_descriptor I-music_descriptor I-music_descriptor I-music_descriptor,O O O B-music_genre O O O O O O O
when is easter in the year two thousand and eighteen,datetime,datetime,datetime_query,datetime_query,O O B-event_name O O O B-date I-date I-date I-date,O O B-event_name O O B-date I-date I-date I-date I-date
do not make any noise until morning alarm,audio,alarm,audio_volume_mute,alarm_remove,O O O O O O B-timeofday O,O O O O O O I-time O
order a pizza with sausage from domino's,takeaway,takeaway,takeaway_order,takeaway_order,O O B-food_type O B-ingredient O B-business_name,O O B-food_type I-food_type B-food_type O B-business_name
the sun is shinning bright will we have this weather for the rest of the day,weather,weather,weather_query,weather_query,O O O O O O O O O O O O B-time I-time I-time I-time,O B-weather_descriptor O O O O O O O O O O B-time I-time I-time I-time
play my summer jams playlist,play,play,play_music,play_music,O O B-playlist_name I-playlist_name I-playlist_name,O O B-artist_name I-artist_name O
find me a joke related to baseball,general,general,general_joke,general_joke,O O O O O O B-joke_type,O O O O O O B-news_topic
set notification from world news,news,news,news_query,news_query,O O O B-media_type I-media_type,O O O B-place_name O
so clean news in past six hours is what,news,news,news_query,news_query,B-media_type I-media_type O O B-time I-time I-time O O,O O O O B-time I-time I-time O O
play only all music released between the year one thousand nine hundred and ninety and two thousand,play,play,play_music,play_music,O O O O O O O O B-date I-date I-date I-date I-date I-date O B-date I-date,O O O O O O O I-date I-date I-date I-date I-date I-date I-date I-date I-date I-date
find some smooth jazz for me,play,play,play_music,play_music,O O B-music_genre I-music_genre O O,O O B-music_genre B-music_genre O O
my vacuum cleaner should start between ten to eleven am everyday,iot,iot,iot_cleaning,iot_cleaning,O B-device_type I-device_type O O O B-time O B-time I-time B-general_frequency,O B-device_type I-device_type O O O B-time I-time I-time I-time B-general_frequency
change the music mode to rock,music,play,music_settings,play_music,B-player_setting O O O O B-music_genre,O O O O O B-music_genre
what is the minimum temperature of london,weather,weather,weather_query,weather_query,O O O O B-weather_descriptor O B-place_name,O O O B-weather_descriptor B-weather_descriptor O B-place_name
what do you think,music,general,music_likeness,general_quirky,O O O O,O O O O
turn off all lights,iot,iot,iot_hue_lightoff,iot_hue_lightoff,O O B-device_type I-device_type,O O O O
give me news on president trump,news,news,news_query,news_query,O O O O B-news_topic I-news_topic,O O O O B-news_topic I-person
which teams are playing today in the premier league,news,recommendation,news_query,qa_factoid,O O O O B-date O O B-news_topic I-news_topic,O O O O B-date O O O O
song title,music,music,music_query,music_likeness,O O,O O
title,music,play,music_query,play_audiobook,O,O
please make me coffee without sweetener,iot,iot,iot_coffee,iot_coffee,O O O O B-coffee_type I-coffee_type,O O O O O O
play coldplay album,play,play,play_music,play_music,O B-playlist_name O,O B-artist_name O
can you loop the playlist themes,play,play,play_music,play_music,O O O O O B-playlist_name,O O O O O O
add song to running list,music,lists,music_likeness,lists_createoradd,O O O B-playlist_name O,O O O O O
get me match highlights,news,news,news_query,news_query,O O B-news_topic I-news_topic,O O O O
will there be a fall in temperature by tonight,weather,weather,weather_query,weather_query,O O O O O O B-weather_descriptor O B-timeofday,O O O O B-weather_descriptor O B-weather_descriptor O B-timeofday
hi google play me playlist wacky in my gaana application,play,play,play_music,play_music,O O O O O B-playlist_name O O O O,O O O O O B-song_name O O B-music_genre O
can you open my itunes,play,play,play_music,play_music,O O O O O,O O O O B-media_type
please play thirteen,play,play,play_music,play_music,O O B-song_name,O O B-music_genre
i never want to hear that song again,music,music,music_dislikeness,music_likeness,O O O O O O O O,O O O O O O O O
what's the date of the winter solstice two years from now,datetime,datetime,datetime_query,datetime_query,O O O O O B-event_name I-event_name B-time I-time O O,O O O O O B-event_name I-event_name B-date I-date I-date I-date
i'm going to sleep now,iot,iot,iot_hue_lightoff,general_quirky,O O O O O,O O O O O
when can we eat,takeaway,cooking,takeaway_query,cooking_recipe,O O O O,O O O O
is dinner ready yet,takeaway,calendar,takeaway_query,calendar_query,O B-meal_type O O,O B-meal_type O O
what is the current weather condition in my place,weather,weather,weather_query,weather_query,O O O O O O O B-place_name I-place_name,O O O O O O O O O
b. b. c. world headlines,news,news,news_query,news_query,B-media_type I-media_type I-media_type I-media_type O,B-media_type I-media_type I-media_type B-place_name O
silently adjust,audio,audio,audio_volume_mute,audio_volume_up,O O,O O
wooo,general,alarm,general_quirky,alarm_query,O,O
play ella fitzgerals get happy,play,play,play_music,play_music,O B-artist_name I-artist_name B-song_name I-song_name,O B-song_name I-song_name I-song_name I-song_name
can i order take out from licari's,takeaway,takeaway,takeaway_order,takeaway_order,O O O B-order_type I-order_type O B-business_name,O O O B-order_type O O B-business_name
show me the dim color,iot,iot,iot_hue_lightdim,iot_hue_lightchange,O O O O O,O O O O O
light color for study room,iot,iot,iot_hue_lightup,iot_hue_lightchange,O O O B-house_place I-house_place,O O O B-house_place I-house_place
i need to change my house lights color to blue,iot,iot,iot_hue_lightchange,iot_hue_lightchange,O O O O O B-house_place O O O B-color_type,O O O O O O O O O B-color_type
keep me up to date with today's n. b. a. scores,news,news,news_query,news_query,O O O O O O B-date B-news_topic I-news_topic I-news_topic I-news_topic,O O O O O O B-date B-news_topic I-media_type I-media_type O
what is the weather this friday,weather,weather,weather_query,weather_query,O O O O O B-date,O O O O B-date B-date
what song is on the radio,music,play,music_query,play_radio,O O O O O O,O O O O O O
please give me todays forecast for new york city,weather,weather,weather_query,weather_query,O O O B-date O O B-place_name I-place_name I-place_name,O O O B-date O O B-place_name I-place_name O
i feel like having soup for lunch order from wangs kitchen restaurant a chicken manchow soup,takeaway,takeaway,takeaway_order,takeaway_order,O O O O B-food_type O B-meal_type O O B-business_name I-business_name B-business_type O O O O,O O O O O O B-meal_type O O B-business_name I-business_name I-business_name O B-food_type I-food_type I-food_type
seven hundred,datetime,datetime,datetime_convert,datetime_query,O O,O O
play my spotify dance play list,play,play,play_music,play_music,O O O O O O,O O B-app_name B-music_genre O O
could you please create a pandora channel for adele,music,play,music_settings,play_music,O O O O O O O O B-artist_name,O O O O O O O O B-artist_name
will the temperature stay about the same or is it going to get colder,weather,weather,weather_query,weather_query,O O B-weather_descriptor O O O O O O O O O O O,O O B-weather_descriptor O O O O O O O O O O B-weather_descriptor
turn off the socket,iot,iot,iot_wemo_off,iot_wemo_off,O O O B-device_type,O O O O
let's hear some indie rock okay,play,play,play_music,play_music,O O O B-music_genre I-music_genre O,O O O B-music_genre B-music_genre O
olly i feel like dancing play me some rock north roll,play,play,play_music,play_music,O O O O O O O O B-music_genre I-music_genre I-music_genre,O O O O O O O O B-music_genre I-song_name I-song_name
olly i need to hear some sad songs today,play,play,play_music,play_music,O O O O O O B-music_genre I-music_genre B-date,O O O O O O B-music_genre O B-date
i want to hear purple haze,play,play,play_music,play_music,O O O O B-song_name I-song_name,O O O O B-artist_name I-artist_name
should i bring an umbrella today,weather,weather,weather_query,weather_query,O O O O O B-date,O O O O B-weather_descriptor B-date
are there any upcoming concerts by,music,recommendation,music_likeness,recommendation_events,O O O O B-event_name O,O O O O B-event_name O
please play some jazz music,play,play,play_music,play_music,O O O B-music_genre I-music_genre,O O O B-music_genre O
the second of next mont lands on what day,datetime,datetime,datetime_query,datetime_query,O B-event_name I-event_name I-event_name I-event_name I-event_name O O O,O O O O O O O O O
is there takeaway at papa john's,takeaway,takeaway,takeaway_query,takeaway_query,O O O O B-business_name I-business_name,O O B-order_type O B-business_name I-business_name
please show me any articles related to weather in the morning news,news,news,news_query,news_query,O O O O O O O B-news_topic O O B-media_type I-media_type,O O O O O O O B-news_topic O O B-media_type O
brightness ninety percent,iot,iot,iot_hue_lightchange,iot_hue_lightchange,O B-change_amount I-change_amount,O O I-change_amount
weekly weather report,weather,weather,weather_query,weather_query,O O O,B-date O O
please tell me news related to the stock market,qa,qa,qa_stock,qa_stock,O O O O O O O B-news_topic I-news_topic,O O O O O O O O I-news_topic
play songs by the band the beatles,play,play,play_music,play_music,O O O O O O B-artist_name,O O O O O B-artist_name B-artist_name
does louie's do take out,takeaway,takeaway,takeaway_query,takeaway_query,O B-business_name O O O,O B-business_name O B-order_type B-order_type
take out available louies,takeaway,takeaway,takeaway_query,takeaway_order,O O O B-business_name,O O O B-business_name
i hate this song,music,music,music_dislikeness,music_likeness,O O O O,O O O O
show me some current events,news,calendar,news_query,calendar_query,O O O O O,O O O O O
don't play this song again,music,music,music_dislikeness,music_settings,O O O O O,O O O O O
play something from keane's hopes and fears album,play,play,play_music,play_music,O O O B-artist_name O O O O,O O O B-artist_name B-song_name I-song_name I-song_name O
how many tornadoes have there been this month,general,general,general_quirky,general_quirky,O O B-news_topic O O O B-date I-date,O O O O O O B-date I-date
olly how many tornadoes have there been this month,general,general,general_quirky,general_quirky,O O O B-news_topic O O O B-date I-date,O O O O O O O B-date I-date
make me a cup of coffee with salted carmel flavored cream,iot,iot,iot_coffee,iot_coffee,O O O O O O O B-coffee_type I-coffee_type I-coffee_type I-coffee_type,O O O O O O O B-food_type I-food_type O I-food_type
stop start the juice,iot,audio,iot_wemo_on,audio_volume_mute,O O O O,O O O O
rate five,music,qa,music_likeness,qa_currency,O O,O O
please note i like jazz and hate disco,music,music,music_likeness,music_likeness,O O O O B-music_genre O O B-place_name,O O O O B-music_genre O O B-music_genre
what is the current state of the investigation into trump's ties with russia,news,news,news_query,news_query,O O O O O O O B-news_topic I-news_topic I-news_topic I-news_topic O B-place_name,O O O O O O O O O B-news_topic I-news_topic I-news_topic B-news_topic
should we expect rain this afternoon,weather,weather,weather_query,weather_query,O O O O O B-timeofday,O O O B-weather_descriptor B-timeofday I-timeofday
does the nearby dominoes have delivery,takeaway,takeaway,takeaway_query,takeaway_query,O O O B-business_name O O,O O O B-business_name O B-order_type
what is the forecast for the week,weather,weather,weather_query,weather_query,O O O O O O B-date,O O O O O O O
report weather for thirty three thousand seven hundred and seventy four,weather,weather,weather_query,weather_query,O O O O O O O O O O O,O O O O I-date I-date I-date O O O O
where is the car,audio,transport,audio_volume_up,transport_traffic,O O O O,O O O B-transport_type
knock knock,general,alarm,general_joke,alarm_set,O O,O O
turn down the lights to medium,iot,iot,iot_hue_lightoff,iot_hue_lightdim,O O O O O O,O O O O B-change_amount I-change_amount
what is the ten day forecast,weather,weather,weather_query,weather_query,O O O B-date I-date O,O O O B-date I-time O
are there any forecasts of rain or snow this week,weather,weather,weather_query,weather_query,O O O O O B-weather_descriptor I-weather_descriptor I-weather_descriptor B-date I-date,O O O O O B-weather_descriptor I-weather_descriptor B-weather_descriptor B-date I-date
what degree is it outside,weather,weather,weather_query,weather_query,O B-weather_descriptor O O O,O O O O O
is the twenty second on a wednesday,datetime,datetime,datetime_query,datetime_query,O O B-date I-date O O O,O O B-date I-date O O B-date
speak softer please,audio,audio,audio_volume_down,audio_volume_up,O O O,O O O
play only my list,play,play,play_music,lists_createoradd,O O O O,O O O O
please turn on my balcony lights,iot,iot,iot_hue_lighton,iot_hue_lightup,O O O O B-house_place O,O O O O B-house_place O
change the lights in the living room to green and red,iot,iot,iot_hue_lightchange,iot_hue_lightchange,O O O O O B-house_place I-house_place O B-color_type I-color_type I-color_type,O O O O O B-house_place I-house_place O B-color_type O B-color_type
i want the light to be a little more red ish,iot,iot,iot_hue_lightchange,iot_hue_lightchange,O O O O O O O O O B-color_type I-color_type,O O O O O O O O O B-color_type O
remind me after ten minutes,calendar,calendar,calendar_set,calendar_set,O O B-time I-time I-time,O O O B-time I-time
what's the latest news from xinhua,news,news,news_query,news_query,O O O O O B-media_type,O O O O O B-place_name
what is going on in the world today,news,news,news_query,news_query,O O O O O O O B-date,O O O O O O B-place_name B-date
tell me the time in someplace,datetime,datetime,datetime_convert,datetime_query,O O O O O O,O O O O O B-place_name
lights at percent,iot,iot,iot_hue_lightchange,iot_hue_lightup,O O O,O B-change_amount I-change_amount
please play my nineties rap hits,play,play,play_music,play_music,O O O B-music_genre I-music_genre O,O O O B-music_genre B-music_genre O
i would like to hear aretha franklin's call me after this song,play,play,play_music,play_music,O O O O O B-artist_name I-artist_name O O O O O,O O O O O B-artist_name I-artist_name B-song_name O O O O
play my midnight love playlist,play,play,play_music,play_music,O O B-playlist_name I-playlist_name O,O O B-song_name I-song_name I-playlist_name
find me info on cars,news,qa,news_query,qa_factoid,O O O O B-news_topic,O O O O O
what is the wake up time for my alarm i have set for the flight this weekend,alarm,alarm,alarm_query,alarm_query,O O O B-alarm_type I-alarm_type O O O O O O O O O O B-date I-date,O O O O O O O O O O O O O O O B-date I-date
read that back,play,lists,play_audiobook,lists_createoradd,O O O,O O O
play me last year's hits,play,play,play_music,play_music,O O O O O,O O B-artist_name I-date O
i want to hear any songs that got grammys this year,play,play,play_music,play_music,O O O O O O O O O O O,O O O O O O O O O B-date I-date
i'd like to listen to hear a music of dance and country,play,play,play_music,play_music,O O O O O O O O O B-music_genre I-music_genre I-music_genre,O O O O O O O O O B-music_genre O B-music_genre
this is a good tune please notate file accordingly,music,music,music_likeness,music_likeness,O O O O O O O O O,O O O O O O B-player_setting O O
please play shape of you by said sheeran,play,play,play_music,play_music,O O B-song_name I-song_name I-song_name O B-artist_name I-artist_name,O O B-song_name I-song_name I-song_name O B-artist_name B-artist_name
please select the first song in my itunes library,play,play,play_music,play_music,O O O O O O O B-playlist_name I-playlist_name,O O O O O O O O O
can you make the lights go out,iot,iot,iot_hue_lightoff,iot_hue_lightup,O O O O O O O,O O O O O O O
olly what day of the week is halloween,datetime,datetime,datetime_query,datetime_query,O O B-date I-date I-date I-date O B-event_name,O O O O O O O B-event_name
what happened on the walking dead,news,news,news_query,news_query,O O O O B-news_topic I-news_topic,O O O B-news_topic B-news_topic I-news_topic
let's suck out the dust,iot,iot,iot_cleaning,iot_hue_lightchange,O O O O O,O O O O O
please power down,iot,audio,iot_wemo_off,audio_volume_mute,O O O,O O O
i want to set an alarm when i'm driving home tomorrow to remember to stop at the store and get food,alarm,alarm,alarm_set,alarm_set,O O O O O O O O O O B-date O O O B-event_name I-event_name I-event_name I-event_name I-event_name I-event_name I-event_name,O O O O O O O O O O B-date O O O O O O O O O O
turn off overhead light,iot,iot,iot_hue_lightoff,iot_hue_lightoff,O O O O,O O B-device_type O
i want to know everything that breaks about the dam breaking in california,news,news,news_query,news_query,O O O O O O O O O O O O B-place_name,O O O O O O O O O B-news_topic I-news_topic I-news_topic B-place_name
where can i get a shot of tequila and some to go mexican food,takeaway,recommendation,takeaway_query,recommendation_locations,O O O O O O O B-food_type O O O O B-food_type O,O O O O O O O O O O O O B-food_type O
turn off my wifi,iot,iot,iot_wemo_off,iot_wemo_off,O O O O,O O O B-device_type
change volume to thirty five percent,audio,audio,audio_volume_other,audio_volume_up,O O B-change_amount I-change_amount I-change_amount I-change_amount,O O B-change_amount I-change_amount I-change_amount I-change_amount
change volume level to maximum,audio,audio,audio_volume_other,audio_volume_up,O O O B-change_amount I-change_amount,O O O B-change_amount I-change_amount
is there any news about the presidency,news,news,news_query,news_query,O O O O O O B-news_topic,O O O O O B-news_topic B-news_topic
current time new york,datetime,datetime,datetime_query,datetime_query,O B-time_zone B-place_name I-place_name,O O B-place_name I-place_name
am i going to be able to mow the grass this evening,weather,weather,weather_query,weather_query,O O O O O O O B-weather_descriptor I-weather_descriptor I-weather_descriptor B-timeofday I-timeofday,O O O O O O O O O B-weather_descriptor B-timeofday B-timeofday
tell me the funniest joke that was ever told,general,general,general_joke,general_joke,O O O B-joke_type O O O O O,O O O O O O O O O
i would like to hear some good funny jokes,general,general,general_joke,general_joke,O O O O O O B-joke_type I-joke_type O,O O O O O O O B-joke_type O
is it afternoon yet,datetime,weather,datetime_query,weather_query,O O O O,O O B-timeofday O
what time is it on the east coast of the united states,datetime,datetime,datetime_query,datetime_query,O O O O O O B-time_zone I-time_zone O O B-place_name I-place_name,O O O O O O B-place_name I-place_name O I-place_name I-place_name I-place_name
move to the next song in the list,music,play,music_settings,play_music,B-player_setting O O O O O O O,O O O O O O O O
increase the brightness in this room,iot,iot,iot_hue_lightup,iot_hue_lightup,O O O O B-house_place I-house_place,O O O O O B-house_place
will the weather be less than ten degree in paris,weather,weather,weather_query,weather_query,O O O O B-weather_descriptor I-weather_descriptor I-weather_descriptor I-weather_descriptor O B-place_name,O O O O O O O B-weather_descriptor O B-place_name
give me some good sounds,play,audio,play_music,audio_volume_up,O O O O O,O O O O O
will i need to carry around a brolly today,weather,weather,weather_query,weather_query,O O O O O O O O B-date,O O O O O O O B-weather_descriptor B-date
is it going to rain at one p. m. today,weather,weather,weather_query,weather_query,O O B-weather_descriptor I-weather_descriptor I-weather_descriptor O B-time I-time I-time B-date,O O O O B-weather_descriptor O B-time I-time I-time B-date
is fongs dine in only,takeaway,takeaway,takeaway_query,takeaway_query,O B-business_name O O O,O B-person O O O
how many saturdays are in march,datetime,datetime,datetime_query,datetime_query,O O B-date I-date I-date I-date,O O O O O B-date
will i need to shovel my driveway this morning,weather,weather,weather_query,weather_query,O O O O O O B-weather_descriptor O B-timeofday,O O O O B-weather_descriptor O O O B-timeofday
what are the latest crime statistics for me area,news,news,news_query,news_query,O O O O B-news_topic I-news_topic O O O,O O O O O O O O O
order a twelve piece honey mustard wing combo with seasonimg altnon the fries and a sprite as the drink,takeaway,takeaway,takeaway_order,takeaway_order,O O O O B-food_type I-food_type I-food_type I-food_type O O O O O O O B-drink_type O O O,O O O O B-food_type I-food_type I-food_type O O B-food_type I-food_type I-food_type I-food_type O O O O O O
start the dogwalking playlist,play,play,play_music,play_music,O O B-playlist_name I-playlist_name,O O B-song_name I-playlist_name
set a notification for sports game,calendar,calendar,calendar_set,calendar_set,O O O O B-event_name I-event_name,O O O O B-event_name O
tell me when it is five p. m.,alarm,alarm,alarm_set,datetime_query,O O O O O B-time I-time I-time,O O O O O B-time I-time I-time
find information on today's stocks,news,qa,news_query,qa_stock,O O O B-date O,O O O B-date O
will the temperature be higher than forty tomorrow,weather,weather,weather_query,weather_query,O O B-weather_descriptor O B-weather_descriptor I-weather_descriptor I-weather_descriptor B-date,O O B-weather_descriptor O B-weather_descriptor O B-time B-date
change volume settings in the negative alexa,audio,audio,audio_volume_other,audio_volume_up,O O O O O O O,O O O O O O O
should i wear sandals or shoes with socks,weather,weather,weather_query,weather_query,O O O B-weather_descriptor I-weather_descriptor I-weather_descriptor I-weather_descriptor I-weather_descriptor,O O O B-weather_descriptor O B-weather_descriptor O B-weather_descriptor
what day is halloween this year,datetime,datetime,datetime_query,datetime_query,O O O B-event_name B-date I-date,O O O B-event_name I-date I-date
is there any new information regarding the mexican american border wall,news,news,news_query,news_query,O O O O O O B-news_topic I-news_topic I-news_topic I-news_topic I-news_topic,O O O O O O O B-place_name I-news_topic I-news_topic I-news_topic
tell me the time in this time zone,datetime,datetime,datetime_query,datetime_query,O O O O O B-time_zone I-time_zone I-time_zone,O O O O O B-time_zone B-time_zone I-place_name
what day does my birthday fall on this year june twenty seventh,datetime,datetime,datetime_query,datetime_query,O O O O B-event_name O O O O B-date I-date I-date,O O O O B-event_name O O B-date I-date B-date I-date I-date
clear data,audio,lists,audio_volume_mute,lists_remove,O O,O O
how many hours distance is between my location and new york,datetime,transport,datetime_convert,transport_query,O O O O O O O O O B-place_name I-place_name,O O O O O O O O O B-place_name I-place_name
enter song suggestion,music,play,music_likeness,play_music,O O O,O O O
what time is it in a city,datetime,datetime,datetime_query,datetime_query,O O O O O B-place_name I-place_name,O O O O O O B-place_name
set notifications on the current weather disasters in america,calendar,news,calendar_set,news_query,O O O O O B-event_name I-event_name O B-place_name,O O O O O O O O B-place_name
lower the overhead lights,iot,iot,iot_hue_lightdim,iot_hue_lightdim,O O B-house_place O,O O O O
play my soundtrack,play,play,play_music,play_music,O B-playlist_name I-playlist_name,O O O
news of the train wreck,news,news,news_query,news_query,O O O B-news_topic I-news_topic,O O B-news_topic B-news_topic I-news_topic
would you love to see,iot,general,iot_hue_lightchange,general_quirky,O O O O O,O O O O O
music third day,play,play,play_music,play_music,O B-artist_name I-artist_name,O B-date I-date
who won the presidential election this year,qa,news,qa_factoid,news_query,O O B-news_topic I-news_topic I-news_topic B-date I-date,O O O O O O O
add this song for the next playing song,play,music,play_music,music_likeness,O O O O O O O O,O O O O O O O O
make my usual,iot,iot,iot_coffee,iot_coffee,O O B-coffee_type,O O O
tell me the news about share market ups and downs,news,qa,news_query,qa_stock,O O O O O B-news_topic I-news_topic I-news_topic I-news_topic I-news_topic,O O O O O O O O O O
please make the lights natural,iot,iot,iot_hue_lightchange,iot_hue_lightchange,O O O O O,O O O O B-color_type
when is the next friday the thirteenth,datetime,datetime,datetime_query,datetime_query,O O O O B-date I-date I-date,O O O B-date B-date I-date I-date
what was the weather for the week,weather,weather,weather_query,weather_query,O O O O O O B-time,O O O O O O O
olly cancel all soccer practice alarms,alarm,alarm,alarm_remove,alarm_remove,O O O B-alarm_type I-alarm_type O,O O O B-event_name I-event_name O
i don't want any alarms,alarm,alarm,alarm_remove,alarm_query,O O O O O,O O O O O
nobody knows,play,play,play_music,music_likeness,B-song_name I-song_name,O I-song_name
here's the truth about meals on wheels in someone's budget,news,general,news_query,general_quirky,O O O O O O O O O O,O O O O O O O O O O
find songs from my big band playlist,play,play,play_music,play_music,O O O O B-playlist_name I-playlist_name I-playlist_name,O O O O B-artist_name I-artist_name O
please skip two songs,music,music,music_settings,music_settings,O B-player_setting O O,O O O O
please play the latest song from the album abbas,play,play,play_music,play_music,O O O O O O O O B-music_album,O O O O O O O O B-song_name
